product_id,product_name,product_price,reviews,created_by,environmental impact,labor rights,animal welfare,corporate governance,sentiment,sentiment_score,category
BE100000,Beauty Miss 0,920.53,Perfect for daily skincare routine. | Moisturizes well and feels refreshing. | Very affordable and effective product. | Bottle design is very convenient. | Helped improve my skin glow. | Fragrance is long-lasting and pleasant. | Texture is smooth and easy to apply. | Too oily and sticky after use. | Not suitable for sensitive skin. | Caused breakouts after a week.,Martinez-May,94,43,59,100,positive,75,Beauty
BE100001,Beauty Once 1,328.39,"Fragrance is long-lasting and pleasant. | Caused irritation on my skin. | Not suitable for sensitive skin. | Perfect for daily skincare routine. | Helped improve my skin glow. | Too oily and sticky after use. | Bottle design is very convenient. | Moisturizes well and feels refreshing. | Doesn’t last long, fades quickly. | Texture is smooth and easy to apply. | Very affordable and effective product.","Allen, Crane and Moore",25,40,97,88,neutral,51,Beauty
BE100002,Beauty National 2,38.52,"Bottle design is very convenient. | Not suitable for sensitive skin. | Very affordable and effective product. | Texture is smooth and easy to apply. | Perfect for daily skincare routine. | Caused irritation on my skin. | Moisturizes well and feels refreshing. | Fragrance is long-lasting and pleasant. | Doesn’t last long, fades quickly. | Caused breakouts after a week. | Helped improve my skin glow.",Blanchard and Sons,40,37,96,88,negative,32,Beauty
BE100003,Beauty Your 3,732.08,"Fragrance is long-lasting and pleasant. | Caused irritation on my skin. | Bottle design is very convenient. | Very affordable and effective product. | Caused breakouts after a week. | Perfect for daily skincare routine. | Helped improve my skin glow. | Too oily and sticky after use. | Doesn’t last long, fades quickly. | Moisturizes well and feels refreshing. | Not suitable for sensitive skin.","Griffin, Ayers and Webb",81,34,95,77,positive,84,Beauty
BE100004,Beauty Data 4,15.16,"Not suitable for sensitive skin. | Very affordable and effective product. | Doesn’t last long, fades quickly. | Too oily and sticky after use. | Perfect for daily skincare routine. | Helped improve my skin glow. | Fragrance is long-lasting and pleasant. | Texture is smooth and easy to apply. | Caused breakouts after a week. | Moisturizes well and feels refreshing.",Cox-Brady,38,98,37,58,neutral,55,Beauty
BE100005,Beauty Discussion 5,87.68,"Caused breakouts after a week. | Fragrance is long-lasting and pleasant. | Caused irritation on my skin. | Moisturizes well and feels refreshing. | Perfect for daily skincare routine. | Helped improve my skin glow. | Bottle design is very convenient. | Too oily and sticky after use. | Not suitable for sensitive skin. | Doesn’t last long, fades quickly. | Texture is smooth and easy to apply.",Wilson LLC,81,25,40,96,negative,33,Beauty
BE100006,Beauty Career 6,331.57,"Too oily and sticky after use. | Bottle design is very convenient. | Not suitable for sensitive skin. | Doesn’t last long, fades quickly. | Perfect for daily skincare routine. | Helped improve my skin glow. | Caused breakouts after a week. | Texture is smooth and easy to apply. | Fragrance is long-lasting and pleasant. | Caused irritation on my skin. | Very affordable and effective product.",Medina-Clark,72,62,20,55,positive,97,Beauty
BE100007,Beauty Near 7,248.11,"Too oily and sticky after use. | Caused irritation on my skin. | Not suitable for sensitive skin. | Texture is smooth and easy to apply. | Fragrance is long-lasting and pleasant. | Doesn’t last long, fades quickly. | Caused breakouts after a week. | Moisturizes well and feels refreshing. | Perfect for daily skincare routine. | Helped improve my skin glow. | Bottle design is very convenient.",Glover-Rodriguez,43,50,57,87,neutral,44,Beauty
BE100008,Beauty Decade 8,113.81,"Very affordable and effective product. | Bottle design is very convenient. | Moisturizes well and feels refreshing. | Not suitable for sensitive skin. | Doesn’t last long, fades quickly. | Caused breakouts after a week. | Fragrance is long-lasting and pleasant. | Caused irritation on my skin. | Too oily and sticky after use. | Texture is smooth and easy to apply. | Helped improve my skin glow. | Perfect for daily skincare routine.",Huerta LLC,75,47,60,40,negative,33,Beauty
BE100009,Beauty Service 9,558.69,Helped improve my skin glow. | Caused breakouts after a week. | Texture is smooth and easy to apply. | Fragrance is long-lasting and pleasant. | Perfect for daily skincare routine. | Bottle design is very convenient. | Very affordable and effective product. | Moisturizes well and feels refreshing. | Too oily and sticky after use. | Not suitable for sensitive skin.,Gordon Ltd,81,27,61,82,positive,91,Beauty
BE100010,Beauty Establish 10,397.68,"Too oily and sticky after use. | Very affordable and effective product. | Caused irritation on my skin. | Not suitable for sensitive skin. | Bottle design is very convenient. | Texture is smooth and easy to apply. | Fragrance is long-lasting and pleasant. | Helped improve my skin glow. | Doesn’t last long, fades quickly. | Perfect for daily skincare routine. | Moisturizes well and feels refreshing. | Caused breakouts after a week.","Anderson, Lee and Yang",53,48,28,25,neutral,45,Beauty
BE100011,Beauty These 11,570.47,"Very affordable and effective product. | Too oily and sticky after use. | Texture is smooth and easy to apply. | Caused breakouts after a week. | Helped improve my skin glow. | Fragrance is long-lasting and pleasant. | Not suitable for sensitive skin. | Bottle design is very convenient. | Doesn’t last long, fades quickly. | Perfect for daily skincare routine. | Moisturizes well and feels refreshing.",Davis-Booth,41,40,42,43,negative,26,Beauty
BE100012,Beauty Party 12,523.42,Too oily and sticky after use. | Texture is smooth and easy to apply. | Moisturizes well and feels refreshing. | Fragrance is long-lasting and pleasant. | Caused irritation on my skin. | Helped improve my skin glow. | Not suitable for sensitive skin. | Caused breakouts after a week. | Perfect for daily skincare routine. | Very affordable and effective product.,King PLC,87,100,97,72,positive,81,Beauty
BE100013,Beauty Actually 13,199.85,"Doesn’t last long, fades quickly. | Too oily and sticky after use. | Caused irritation on my skin. | Texture is smooth and easy to apply. | Caused breakouts after a week. | Very affordable and effective product. | Perfect for daily skincare routine. | Helped improve my skin glow. | Fragrance is long-lasting and pleasant. | Moisturizes well and feels refreshing.",Weaver PLC,76,77,30,95,neutral,54,Beauty
